taxon_name_Stace,kew_id,C_num,S_num,R_num,predicted_CSR
Ornithopus perpusillus,510863-1,15.37,21.24,63.39,R/CSR
Orthilia secunda,176704-2,13.33,62.09,24.58,S/CSR
Osmunda regalis,305721-2,79.61,11.4,8.99,C
Oxalis acetosella,30012601-2,19.93,0,80.07,R/CR
Oxalis corniculata,177893-2,13.47,0,86.53,R
Oxalis stricta,178499-2,17.02,0,82.98,R/CR
Oxyria digyna,694858-1,57.9,0,42.1,CR
Pancratium maritimum,66466-1,25.45,74.55,0,S/CS
Panicum capillare,181618-2,37.31,35.52,27.17,CSR
Papaver cambricum,673433-1,43.36,0.13,56.51,CR
Papaver dubium,673488-1,58.24,5.05,36.7,CR
Papaver rhoeas,306058-2,32.72,28.92,38.36,CSR
Papaver somniferum,673724-1,59.34,4,36.66,CR
Parapholis strigosa,413704-1,0,55.39,44.61,SR
Parietaria judaica,854934-1,27.42,11.86,60.72,R/CSR
Parietaria officinalis,854958-1,38.1,0,61.9,CR
Paris quadrifolia,539724-1,38.57,0,61.43,CR
Parnassia palustris,792120-1,28.65,0,71.35,R/CR
Parthenocissus inserta,184082-2,66.66,15.5,17.84,C/CR
Parthenocissus tricuspidata,50912710-1,44.12,23.15,32.74,CR/CSR
Pastinaca sativa,845768-1,68.14,3.95,27.91,C/CR
Pedicularis palustris,807439-1,24.11,0,75.89,R/CR
Pedicularis sylvatica,807692-1,7.8,0,92.2,R
Pentaglottis sempervirens,60457907-2,74.64,0,25.36,C/CR
Persicaria amphibia,30193627-2,42.48,35.16,22.36,CS/CSR
Persicaria hydropiper,77069479-1,33.04,19.42,47.54,CR/CSR
Persicaria lapathifolia,77069480-1,56.53,13.46,30.01,C/CSR
Persicaria maculosa,695052-1,35.53,0,64.47,R/CR
Persicaria minor,157828-3,16.09,12.3,71.61,R/CR
Persicaria mitis,77108460-1,33.37,0,66.63,R/CR
Petasites albus,237345-1,76.62,0,23.38,C/CR
Petasites hybridus,237374-1,85.87,4.74,9.39,C
Petasites japonicus,1067586-2,75.48,0,24.52,C/CR
Petasites pyrenaicus,942865-1,60.08,0,39.92,CR
Petrorhagia prolifera,155983-1,4.3,52.79,42.91,SR
Peucedanum officinale,846292-1,62.52,36.88,0.6,C/CS
Phacelia tanacetifolia,432789-1,55.64,0,44.36,CR
Phalaris arundinacea,415571-1,37.83,36.08,26.1,CSR
Phalaris canariensis,415588-1,42.75,25.61,31.64,CSR
Phaseolus vulgaris,514191-1,56.4,18.99,24.62,C/CSR
Phegopteris connectilis,17344580-1,51.61,8.14,40.25,CR
Phleum alpinum,415775-1,10.06,60.61,29.33,S/SR
Phleum arenarium,415780-1,5.36,51.39,43.24,SR
Phleum phleoides,415866-1,11.27,66.11,22.63,S/SR
Phleum pratense,415868-1,21.92,48.4,29.68,S/CSR
Photinia davidiana,727366-1,36.83,63.17,0,S/CS
Phragmites australis,30337627-2,34.52,54.03,11.45,CS/CSR
Phyllodoce caerulea,1024147-2,0,100,0,S
Phyteuma spicatum,144490-1,29.38,0,70.62,R/CR
Picea abies,262609-1,4.51,95.49,0,S
Picea glauca,195874-2,1.33,77.02,21.65,S/SR
Picea sitchensis,676986-1,0,100,0,S
Picris hieracioides,237848-1,44.79,6.29,48.93,CR
Pilosella aurantiaca,238000-1,34.5,1.17,64.33,R/CR
Pilosella caespitosa,238026-1,30.81,5.62,63.57,R/CR
Pilosella officinarum,77133566-1,40.87,45.25,13.88,CS/CSR
Pimpinella major,846901-1,49.71,17.26,33.03,CR/CSR
Pimpinella saxifraga,847025-1,35.11,37.66,27.23,CSR
Pinguicula vulgaris,526527-1,9.65,0,90.35,R
Pinus ponderosa,307165-2,7.03,92.97,0,S
Pinus sylvestris,263353-1,6.05,93.95,0,S
Pittosporum tenuifolium,684708-1,22.98,64.02,13,S/CS
Plantago coronopus,685048-1,28.97,0,71.03,R/CR
Plantago lanceolata,321285-2,49.08,21.66,29.26,C/CSR
Plantago major,321286-2,69.35,3.51,27.14,C/CR
Plantago maritima,30063012-2,9.02,89.7,1.28,S
Plantago media,685411-1,44.88,30.09,25.03,C/CSR
Platanthera bifolia,651671-1,50.41,0,49.59,CR
Platanthera chlorantha,651693-1,51.53,0,48.47,CR
Platycladus orientalis,677124-1,34.84,65.16,0,S/CS
Poa alpina,320036-2,6.23,67.44,26.33,S/SR
Poa angustifolia,320037-2,12.12,78.62,9.26,S/CS
Poa annua,320035-2,6.55,34.29,59.16,SR
Poa bulbosa,320038-2,3.65,47.99,48.36,SR
Poa compressa,204172-2,9.59,59.41,30.99,S/SR
Poa glauca,204239-2,9.72,48.58,41.7,SR
Poa nemoralis,320039-2,19.36,39.15,41.49,SR/CSR
Poa palustris,204398-2,10.09,51.15,38.76,SR
Poa pratensis,417792-1,16.48,57.36,26.16,S/CSR
Poa trivialis,320346-2,24.51,35.12,40.37,SR/CSR
Polemonium caeruleum,689911-1,44.08,0,55.92,CR
Polygala amarella,691020-1,4.75,24.6,70.64,R/SR
Polygala serpyllifolia,692322-1,0.34,22.6,77.07,R/SR
Polygala vulgaris,692570-1,4.11,36.92,58.97,SR
Polygonatum multiflorum,30081981-2,31.43,0,68.57,R/CR
Polygonatum odoratum,540195-1,42.13,9.14,48.73,CR
Polygonatum verticillatum,540250-1,29.52,0,70.48,R/CR
Polygonum arenarium,695381-1,0.59,77.46,21.95,S/SR
Polygonum aviculare,695422-1,14.03,47.36,38.61,SR/CSR
Polygonum maritimum,696042-1,12.6,87.4,0,S
Polypodium interjectum,17450430-1,48.23,37.68,14.09,CS/CSR
Polypodium vulgare,300720-2,35.48,52.98,11.54,CS/CSR
Polystichum aculeatum,17413440-1,74.04,19.38,6.58,C/CS
Polystichum lonchitis,17414110-1,51.39,39.98,8.63,CS
Pontederia cordata,283610-2,28.81,69.12,2.07,S/CS
Populus alba,776573-1,27.58,67.48,4.94,S/CS
Populus balsamifera,776600-1,30.77,52.12,17.11,S/CSR
Populus nigra,776790-1,40.53,49.26,10.21,CS
Populus tremula,302387-2,32.58,54.49,12.93,S/CSR
Potamogeton acutifolius,67836-3,3.64,36.66,59.71,SR
Potamogeton alpinus,603113-1,19.8,1.38,78.82,R/CR
Potamogeton berchtoldii,603133-1,0.16,0,99.84,R
Potamogeton compressus,323118-2,8.69,0,91.31,R
Potamogeton crispus,323116-2,10.04,0,89.96,R
Potamogeton gramineus,323120-2,19.66,10.82,69.52,R/CR
Potamogeton lucens,208858-2,31.95,6.37,61.68,R/CR
Potamogeton natans,208872-2,42.11,17.29,40.6,CR/CSR
Potamogeton nodosus,603330-1,47.51,0,52.49,CR
Potamogeton obtusifolius,208883-2,6.77,24.64,68.58,R/SR
Potamogeton perfoliatus,208899-2,15.63,9.45,74.92,R/CR
Potamogeton polygonifolius,603369-1,29.22,0,70.78,R/CR
Potamogeton pusillus,208919-2,0.46,42.25,57.29,SR
Potamogeton trichoides,603452-1,0,26.55,73.45,R/SR
Potentilla anglica,727633-1,20.62,35.95,43.43,SR/CSR
Potentilla anserina,727641-1,48.25,33.28,18.47,CS/CSR
Potentilla argentea,727660-1,18.24,60.01,21.75,S/CSR
Potentilla crantzii,727916-1,12.58,68.17,19.25,S/SR
Potentilla erecta,60457410-2,7.18,52.71,40.1,SR
Potentilla intermedia,728302-1,23.22,48.06,28.72,S/CSR
Potentilla norvegica,728598-1,38.78,35.88,25.34,CSR
Potentilla recta,209483-2,31.62,50.1,18.28,S/CSR
Potentilla reptans,324739-2,30.2,35.38,34.42,CSR
Potentilla sterilis,60455705-2,18.38,39.41,42.21,SR/CSR
Primula auricula,701581-1,47.53,0,52.47,CR
Primula elatior,701870-1,54.36,0,45.64,CR
Primula farinosa,30005260-2,17,11.71,71.28,R/CR
Primula veris,702751-1,53.3,16.28,30.42,C/CSR
Primula vulgaris,702779-1,54.82,13.78,31.4,C/CSR
Prunella grandiflora,60464253-2,19.12,27.44,53.44,R/CSR
Prunella vulgaris,455176-1,22.77,25.88,51.35,R/CSR
Prunus cerasus,729574-1,32.81,43.39,23.8,CS/CSR
Prunus laurocerasus,324745-2,49.67,50.33,0,CS
Prunus lusitanica,324746-2,36.99,63.01,0,S/CS
Prunus mahaleb,729931-1,24.17,48.33,27.5,S/CSR
Prunus padus,730076-1,32.91,43.15,23.94,CS/CSR
Prunus serotina,730262-1,36.05,40.92,23.04,CS/CSR
Prunus spinosa,730297-1,15.68,63.75,20.57,S/CSR
Pseudofumaria lutea,673928-1,40.6,3.4,56,CR
Pseudorchis albida,211551-2,36.4,0,63.6,R/CR
Pseudotsuga menziesii,677141-1,0.38,99.62,0,S
Pteridium aquilinum,17210060-1,67.82,18.77,13.41,C/CS
Puccinellia distans,1026660-2,7.72,71.05,21.24,S/SR
Puccinellia maritima,419097-1,1.35,62.81,35.85,S/SR
Pulicaria dysenterica,60445945-2,37.12,0,62.88,R/CR
Pulicaria vulgaris,240626-1,18.71,0,81.29,R/CR
Pulmonaria obscura,120400-1,57.39,0,42.61,CR
Pulmonaria officinalis,120402-1,62.22,0,37.78,CR
Pyrola media,331825-1,23.48,51.73,24.79,S/CSR
Pyrola minor,331828-1,13.68,51.78,34.54,SR/CSR
Pyrola rotundifolia,331846-1,29.95,43.52,26.53,CSR
Quercus cerris,295941-1,34.12,58.79,7.09,CS
Quercus ilex,296290-1,21.07,78.93,0,S/CS
Quercus petraea,359961-1,27.56,54.53,17.91,S/CSR
Quercus robur,304293-2,34.59,60.09,5.31,S/CS
Quercus rubra,296701-1,54.77,33.38,11.85,C/CSR
Ranunculus aconitifolius,712121-1,72.65,0,27.35,C/CR
Ranunculus acris,712125-1,32.35,31.34,36.32,CSR
Ranunculus aquatilis,300627-2,12.82,0,87.18,R
Ranunculus arvensis,712240-1,29.47,0,70.53,R/CR
Ranunculus auricomus,712265-1,40.82,0,59.18,CR
Ranunculus bulbosus,712367-1,48.08,0,51.92,CR
Ranunculus circinatus,712473-1,3.95,0,96.05,R
Ranunculus flammula,30013390-2,32.31,18.35,49.34,R/CSR
Ranunculus fluitans,712741-1,35.19,0,64.81,R/CR
Ranunculus hederaceus,712875-1,8.56,0,91.44,R
Ranunculus lingua,713102-1,58.65,20.4,20.96,C/CSR
Ranunculus peltatus,713478-1,15.24,0,84.76,R
Ranunculus penicillatus,713480-1,2.23,0,97.77,R
Ranunculus repens,713678-1,54.89,3.52,41.6,CR
Ranunculus reptans,300782-2,5.77,55.78,38.45,SR
Ranunculus sardous,713757-1,31.75,0,68.25,R/CR
Ranunculus sceleratus,713776-1,32.13,0,67.87,R/CR
Ranunculus trichophyllus,30048831-2,16.51,1.41,82.08,R/CR
Raphanus raphanistrum,217826-2,62.84,0,37.16,C/CR
Rapistrum rugosum,1061021-2,30.27,9.04,60.69,R/CR
Reseda alba,715421-1,45.89,0,54.11,CR
Reseda lutea,715534-1,50.94,0,49.06,CR
Reseda luteola,715535-1,48.79,0,51.21,CR
Reynoutria japonica,435655-1,61.32,21.97,16.71,C/CSR
Reynoutria sachalinensis,696697-1,83.98,0,16.02,C
Rhamnus alaternus,718169-1,6.52,83.79,9.68,S
Rhamnus cathartica,718256-1,27.88,33.9,38.21,CSR
Rhinanthus minor,30116962-2,10.17,62.76,27.07,S/SR
Rhododendron ponticum,333114-1,34.6,65.4,0,S/CS
Rhus typhina,70939-1,31.17,53.8,15.03,S/CSR
Rhynchospora alba,1070770-2,11.77,64.12,24.11,S/SR
Rhynchospora fusca,1055567-2,12.2,71.82,15.97,S/SR
Ribes nigrum,792873-1,40.55,40.97,18.47,CS/CSR
Ribes rubrum,792965-1,41.14,26.84,32.02,CSR
Ribes spicatum,793001-1,36.79,29.52,33.68,CSR
Ribes uva-crispa,793052-1,25.77,43.73,30.5,CSR
Robinia pseudoacacia,30034699-2,37.06,37.71,25.23,CSR
Rorippa amphibia,288622-1,68.57,0,31.43,C/CR
Rorippa palustris,288669-1,40.82,0,59.18,CR
Rorippa sylvestris,288692-1,32.78,0,67.22,R/CR
Rosa agrestis,731498-1,14.48,82.06,3.46,S
Rosa arvensis,731660-1,16.47,52.62,30.9,S/CSR
Rosa canina,731955-1,25.76,59.01,15.23,S/CSR
Rosa micrantha,733289-1,20.27,70.58,9.15,S/CS
Rosa multiflora,927374-1,32.8,34.41,32.8,CSR
Rosa rubiginosa,734069-1,22.1,72.02,5.88,S/CS
Rosa rugosa,927373-1,48.16,48.94,2.9,CS
Rosmarinus officinalis,455509-1,0.43,99.57,0,S
Rostraria cristata,419582-1,10.35,79.91,9.74,S
Rubia peregrina,765320-1,16.17,50.45,33.39,SR/CSR
Rubia tinctorum,765369-1,38.62,11.18,50.2,CR/CSR
Rubus allegheniensis,298725-2,28.86,42.57,28.57,CSR
Rubus caesius,735608-1,40.63,42.65,16.72,CS/CSR
Rubus chamaemorus,735780-1,39.32,44.87,15.81,CS/CSR
Rubus idaeus,298089-2,38.03,41.01,20.96,CS/CSR
Rubus saxatilis,739981-1,45.28,21.81,32.91,CR/CSR
Rubus ulmifolius,740982-1,46.6,30.28,23.12,C/CSR
Rubus vestitus,741131-1,33.06,50.3,16.64,CS/CSR
Rudbeckia hirta,223740-2,32.92,19.82,47.26,CR/CSR
Rumex acetosa,332105-2,41.05,0,58.95,CR
Rumex acetosella,224391-2,22.21,0,77.79,R/CR
Rumex alpinus,326377-2,87.53,0.88,11.59,C
Rumex aquaticus,301511-2,79.81,0,20.19,C/CR
Rumex confertus,697000-1,77.22,0,22.78,C/CR
Rumex conglomeratus,697003-1,58.07,6.98,34.95,CR
Rumex crispus,224413-2,81.31,0,18.69,C/CR
Rumex hydrolapathum,697202-1,89.57,0,10.43,C
Rumex maritimus,300184-2,49.16,0,50.84,CR
Rumex obtusifolius,310739-2,76.94,0,23.06,C/CR
Rumex palustris,697375-1,41.94,13.17,44.89,CR/CSR
Rumex sanguineus,310740-2,51.57,14.88,33.56,CR/CSR
Ruppia maritima,224565-2,1.76,22.33,75.92,R/SR
Ruscus aculeatus,540443-1,12.17,63.14,24.69,S/SR
Sagina apetala,156411-1,0,49.28,50.72,SR
Sagina nodosa,156491-1,0,49.22,50.78,SR
Sagina procumbens,302082-2,0,44.4,55.6,SR
Sagittaria sagittifolia,30074004-2,56.54,0,43.46,CR
Salix alba,776974-1,25.75,57.97,16.28,S/CSR
Salix caprea,303599-2,34.17,48.87,16.96,CS/CSR
Salix cinerea,301107-2,23.26,75.64,1.1,S/CS
Salix herbacea,302928-2,5.19,73.84,20.97,S/SR
Salix lanata,304306-2,30.57,61.56,7.87,S/CS
Salix lapponum,777998-1,13.76,81.31,4.93,S
Salix myrsinifolia,778243-1,11.34,70.96,17.7,S/SR
Salix myrsinites,300580-2,16.12,83.88,0,S
Salix pentandra,312506-2,29.98,41.33,28.69,CSR
Salix phylicifolia,300880-2,20.7,75.13,4.17,S/CS
Salix purpurea,301321-2,7.16,83.5,9.34,S
Salix repens,305835-2,6.15,76.94,16.91,S/SR
Salix reticulata,304292-2,11.83,88.17,0,S
Salix triandra,302929-2,21.94,71.25,6.81,S/CS
Salix viminalis,779152-1,17.73,62.32,19.95,S/CSR
Salvia glutinosa,456289-1,57.9,0,42.1,CR
Salvia officinalis,456833-1,27.89,39.1,33.01,CSR
Salvia pratensis,457007-1,57.94,10.78,31.28,C/CSR
Salvia verticillata,457502-1,50.19,25.67,24.13,C/CSR
Sambucus ebulus,149315-1,82.23,1.61,16.16,C/CR
Sambucus nigra,30122169-2,35.51,34.27,30.22,CSR
Sambucus racemosa,30056767-2,56.37,7.77,35.86,CR
Samolus valerandi,30021527-2,19.16,8.91,71.93,R/CR
Sanguisorba officinalis,741402-1,36.08,40.92,23,CS/CSR
Sanicula europaea,847832-1,44,5.37,50.63,CR
Santolina chamaecyparissus,241927-1,0,0,100,R
Saponaria officinalis,156627-1,39.12,18.82,42.06,CR/CSR
Sarracenia purpurea,30030166-2,69.64,16.5,13.86,C/CS
Saussurea alpina,242074-1,33.19,25.92,40.89,CSR
Saxifraga aizoides,793159-1,0,25.39,74.61,R/SR
Saxifraga granulata,793749-1,28.11,0,71.89,R/CR
Saxifraga hypnoides,793841-1,0,0,100,R
Saxifraga paniculata,794228-1,10.63,89.37,0,S
Saxifraga rotundifolia,794454-1,56.52,0,43.48,CR
Saxifraga tridactylites,794664-1,0.52,0,99.48,R
Scabiosa atropurpurea,319717-1,50.15,21.51,28.34,C/CSR
Scabiosa columbaria,319793-1,42.21,24.47,33.32,CR/CSR
Scandix pecten-veneris,848035-1,40.22,0,59.78,CR
Scheuchzeria palustris,603500-1,28.59,66.28,5.12,S/CS
Schoenoplectus lacustris,1019162-1,63.93,36.07,0,C/CS
Schoenoplectus tabernaemontani,1019164-1,58.09,41.91,0,CS
Schoenoplectus triqueter,1019165-1,19.34,80.66,0,S/CS
Schoenus ferrugineus,330939-2,7.7,92.3,0,S
Schoenus nigricans,312959-1,23.15,76.85,0,S/CS
Scilla bifolia,540689-1,39.84,0,60.16,CR
Scilla siberica,927545-1,28.79,0,71.21,R/CR
Scirpoides holoschoenus,1214602-2,31.4,55.76,12.85,S/CSR
Scirpus sylvaticus,314368-1,56.77,20.22,23.01,C/CSR
Scleranthus annuus,300494-2,0,0,100,R
Scleranthus perennis,302613-2,0,45.16,54.84,SR
Scorzonera hispanica,243208-1,51.42,30.64,17.94,C/CSR
Scorzonera humilis,243218-1,60.59,3.97,35.45,C/CR
Scorzoneroides autumnalis,243480-1,23.03,9.4,67.57,R/CR
Scrophularia auriculata,809039-1,76.31,0,23.69,C/CR
Scrophularia nodosa,30088899-2,58.29,5.96,35.75,CR
Scrophularia umbrosa,809581-1,51.32,0,48.68,CR
Scrophularia vernalis,809598-1,53.27,7.45,39.28,CR
Scutellaria altissima,458118-1,39.08,19.9,41.02,CR/CSR
Scutellaria galericulata,458280-1,17.27,23.96,58.77,R/CSR
Scutellaria minor,458463-1,4.22,36.27,59.51,SR
Secale cereale,421164-1,43.95,0,56.05,CR
Securigera varia,946592-1,27.75,40.18,32.07,CSR
Selinum carvifolia,848204-1,59.66,19.51,20.83,C/CSR
Senecio inaequidens,245637-1,22.27,16.18,61.55,R/CSR
Senecio ovatus,246691-1,62.56,0,37.44,C/CR
Senecio squalidus,247694-1,43.23,0,56.77,CR
Senecio sylvaticus,247845-1,58.28,0,41.72,CR
Senecio viscosus,248231-1,48.35,0,51.65,CR
Senecio vulgaris,248251-1,24.97,0,75.03,R/CR
Serratula tinctoria,248861-1,50.28,21.36,28.35,C/CSR
Seseli libanotis,848608-1,70.5,2.78,26.72,C/CR
Sesleria caerulea,1005554-2,13.78,63.73,22.49,S/SR
Setaria italica,1207294-2,52.39,15.29,32.32,C/CSR
Setaria pumila,421764-1,34.15,28.16,37.69,CSR
Setaria viridis,1171009-2,17.14,41.2,41.66,SR/CSR
Sherardia arvensis,766342-1,0,24.59,75.41,R/SR
Sibbaldia procumbens,741489-1,7.63,72.62,19.75,S/SR
Silaum silaus,848813-1,48.3,34.36,17.34,CS/CSR
Silene acaulis,60452326-2,0,65.69,34.31,S/SR
Silene armeria,156849-1,22.2,0,77.8,R/CR
Silene conica,157130-1,3.09,71.99,24.92,S/SR
Silene dichotoma,157226-1,39.08,0,60.92,CR
Silene dioica,157239-1,32.57,0,67.43,R/CR
Silene flos-cuculi,911444-1,36.9,0,63.1,R/CR
Silene gallica,332106-2,24.07,0,75.93,R/CR
Silene italica,157576-1,30.88,22.32,46.81,R/CSR
Silene latifolia,157647-1,33.12,33.03,33.84,CSR
Silene noctiflora,304203-2,49.31,4.78,45.91,CR
Silene nutans,157927-1,24.27,31.51,44.22,SR/CSR
Silene otites,157978-1,21.37,54.35,24.28,S/CSR
Silene uniflora,158590-1,22.61,0,77.39,R/CR
Silene vulgaris,158668-1,46.72,0,53.28,CR
Sinapis alba,288952-1,61.14,0,38.86,CR
Sinapis arvensis,288960-1,60.22,0,39.78,CR
Sison amomum,848886-1,55.43,16.53,28.04,C/CSR
Sisymbrium altissimum,289144-1,67.51,0,32.49,C/CR
Sisymbrium loeselii,237960-2,54.54,16.27,29.19,C/CSR
Sisymbrium officinale,289589-1,62.03,0,37.97,CR
Sisymbrium orientale,289595-1,52.59,0,47.41,CR
Sisymbrium strictissimum,324701-2,45.97,26.33,27.7,C/CSR
Sium latifolium,849010-1,62.91,0,37.09,C/CR
Smyrnium olusatrum,849121-1,55.85,0,44.15,CR
Smyrnium perfoliatum,849123-1,49.26,21.57,29.17,C/CSR
Solanum dulcamara,285213-2,33.37,9.34,57.28,R/CSR
Solanum tuberosum,821337-1,73.22,0,26.78,C/CR
Soleirolia soleirolii,856545-1,0,45.83,54.17,SR
Solidago canadensis,249454-1,27.05,51.03,21.92,S/CSR
Solidago gigantea,249575-1,26.8,53.52,19.69,S/CSR
Solidago rugosa,249846-1,28.48,44.54,26.99,S/CSR
Solidago virgaurea,249947-1,37.14,17.58,45.28,CR/CSR
Sonchus arvensis,250029-1,58.06,0,41.94,CR
Sonchus asper,1003017-2,47.86,0,52.14,CR
Sonchus oleraceus,250268-1,56.73,0,43.27,CR
Sonchus palustris,250281-1,56.02,8.95,35.03,CR
Sorbaria sorbifolia,1034036-2,35.29,29.84,34.87,CSR
Sorbus aria,741629-1,46.43,32.39,21.17,CS/CSR
Sorbus aucuparia,741641-1,32.08,55.38,12.54,S/CSR
Sorbus domestica,324828-2,0,80.3,19.7,S/SR
Sorbus intermedia,741793-1,55.8,28.37,15.83,C/CSR
Sorbus torminalis,742021-1,48.66,29.39,21.94,C/CSR
Sorghum halepense,422139-1,43.12,38.2,18.69,CS/CSR
Sparganium angustifolium,241071-2,33.47,0,66.53,R/CR
Sparganium emersum,836755-1,50.74,0,49.26,CR
Sparganium erectum,836758-1,79.32,0,20.68,C/CR
Sparganium natans,836776-1,22.27,0,77.73,R/CR
Spartina anglica,422426-1,34.89,65.11,0,S/CS
Spergula arvensis,158725-1,0,0,100,R
Spergula morisonii,158777-1,0,96.74,3.26,S
Spergularia media,1019502-1,0,0,100,R
Spergularia rubra,158983-1,0,0,100,R
Spiraea alba,30043519-2,32.09,59.6,8.31,S/CS
Spiraea media,742368-1,1.38,89.51,9.11,S
Spiraea salicifolia,30200186-2,17.14,59.79,23.08,S/CSR
Spiraea tomentosa,324833-2,29.42,27.1,43.48,CSR
Stachys arvensis,459319-1,15.79,4.71,79.5,R/CR
Stachys palustris,459820-1,27.96,9.52,62.52,R/CR
Stachys recta,459901-1,23.66,26.59,49.75,R/CSR
Stachys sylvatica,460020-1,31.69,15.87,52.44,R/CSR
Staphylea pinnata,785263-1,53.15,16.87,29.98,C/CSR
Stellaria aquatica,159056-1,25.27,0,74.73,R/CR
Stellaria graminea,310207-2,13.79,0,86.21,R
Stellaria holostea,307758-2,14.26,4.58,81.16,R/CR
Stellaria media,159330-1,11.73,0,88.27,R
Stellaria neglecta,159358-1,15.83,0,84.17,R
Stellaria nemorum,309327-2,34.9,0,65.1,R/CR
Stellaria pallida,983852-1,0.96,0,99.04,R
Stratiotes aloides,431936-1,57.37,0,42.63,CR
Stuckenia pectinata,77099639-1,0,21.28,78.72,R/SR
Succisa pratensis,320331-1,56.84,11.75,31.41,C/CSR
Symphoricarpos albus,149485-1,26.2,49.97,23.84,S/CSR
Symphyotrichum laeve,247114-2,22.79,58.44,18.76,S/CSR
Symphyotrichum lanceolatum,981841-1,17.33,52.22,30.45,S/CSR
Symphyotrichum novae-angliae,981863-1,14.87,43.29,41.84,SR/CSR
Symphyotrichum novi-belgii,981864-1,38.51,25.68,35.81,CSR
Symphyotrichum puniceum,247116-2,39.78,27.17,33.05,CSR
Symphytum officinale,120815-1,68.11,0,31.89,C/CR
Symphytum orientale,120818-1,65.1,0,34.9,C/CR
Symphytum tuberosum,120840-1,47.17,0,52.83,CR
Syringa vulgaris,289009-2,38.31,50.01,11.68,CS/CSR
Tanacetum parthenium,252460-1,36.99,10.2,52.81,CR
Tanacetum vulgare,252568-1,43.46,33.42,23.12,CS/CSR
Taxus baccata,306036-2,2.95,97.05,0,S
Teesdalia nudicaulis,290314-1,9.42,0,90.58,R
Tellima grandiflora,794860-1,49.28,12.14,38.59,CR/CSR
Tephroseris integrifolia,255226-1,28.26,0,71.74,R/CR
Teucrium botrys,460274-1,14.68,0,85.32,R
Teucrium chamaedrys,460310-1,6.41,72.02,21.57,S/SR
Teucrium scordium,460713-1,18.58,26.77,54.66,R/CSR
Teucrium scorodonia,460717-1,18.3,55,26.7,S/CSR
Thalictrum alpinum,714201-1,6.09,76.35,17.56,S/SR
Thalictrum aquilegiifolium,714234-1,69.85,8.81,21.33,C/CR
Thalictrum flavum,302852-2,68.67,14.34,16.99,C/CR
Thalictrum minus,714633-1,55.91,29.18,14.91,C/CSR
Thlaspi alliaceum,290455-1,19.27,0,80.73,R/CR
Thlaspi arvense,290477-1,36.56,0,63.44,R/CR
Thymus pulegioides,461562-1,0,43,57,SR
Thymus serpyllum,30066276-2,0,70.46,29.54,S/SR
Thymus vulgaris,461765-1,0,100,0,S
Tilia cordata,835277-1,34.66,37.09,28.25,CSR
Tilia platyphyllos,332109-2,51.37,13.95,34.68,CR/CSR
Tofieldia pusilla,542298-1,3.45,65.77,30.78,S/SR
Tordylium maximum,849474-1,56.48,17.29,26.23,C/CSR
Torilis arvensis,849502-1,29.55,18.42,52.04,R/CSR
Torilis japonica,849533-1,38.16,32.27,29.57,CSR
Torilis nodosa,849545-1,4.39,77.48,18.13,S/SR
Tragopogon porrifolius,256109-1,40.25,0,59.75,CR
Tragopogon pratensis,256112-1,41.44,9.93,48.63,CR
Trifolium alexandrinum,522827-1,36.82,2.28,60.9,CR
Trifolium angustifolium,522858-1,4.29,57.5,38.21,SR
Trifolium arvense,522881-1,8.91,64.22,26.87,S/SR
Trifolium aureum,522892-1,15.71,23.06,61.23,R/CSR
Trifolium campestre,522975-1,23.17,30.05,46.79,R/CSR
Trifolium dubium,523099-1,14.45,27.4,58.14,R/CSR
Trifolium fragiferum,523154-1,19.03,31.54,49.43,R/CSR
Trifolium hybridum,30240399-2,42.25,23.7,34.05,CR/CSR
Trifolium incarnatum,523237-1,40.31,5.12,54.56,CR
Trifolium medium,523361-1,31.92,41.51,26.57,CSR
Trifolium micranthum,523401-1,0.78,27.49,71.73,R/SR
Trifolium pratense,523575-1,22.04,43.45,34.51,SR/CSR
Trifolium repens,523626-1,19.9,27.29,52.82,R/CSR
Trifolium resupinatum,523627-1,16.28,4.99,78.73,R/CR
Trifolium scabrum,523679-1,4.57,69.01,26.42,S/SR
Trifolium striatum,523751-1,11.61,55.18,33.21,S/CSR
Triglochin maritima,258178-2,7.5,89.09,3.41,S
Triglochin palustris,603552-1,16.34,2.4,81.26,R/CR
Trigonella foenum-graecum,523957-1,35.53,6.44,58.03,CR
Trinia glauca,849859-1,31.23,45.65,23.12,S/CSR
Tripleurospermum inodorum,256500-1,30.22,0,69.78,R/CR
Tripleurospermum maritimum,256507-1,12.7,41.08,46.22,SR/CSR
Trisetum flavescens,425194-1,12.35,47.7,39.95,SR/CSR
Triticum aestivum,332110-2,43.34,25.69,30.97,CSR
Trollius europaeus,306789-2,58.3,10,31.69,C/CSR
Tropaeolum majus,310974-2,60.14,0,39.86,CR
Turritis glabra,290916-1,31.59,5.57,62.84,R/CR
Tussilago farfara,256904-1,88.12,0,11.88,C
Typha angustifolia,259280-2,67.79,32.21,0,C/CS
Typha latifolia,836870-1,87.54,10.46,2,C
Ulex europaeus,524298-1,0.32,99.46,0.22,S
Ulex gallii,524303-1,0.89,99.11,0,S
Ulmus glabra,302887-2,39.11,46.73,14.16,CS/CSR
Ulmus laevis,856879-1,42.95,16.69,40.37,CR/CSR
Ulmus minor,856890-1,31.84,34.97,33.19,CSR
Urtica dioica,260630-2,36.22,31.96,31.82,CSR
Urtica urens,857987-1,22.11,32.08,45.81,SR/CSR
