taxon_name_Stace,kew_id,C_num,S_num,R_num,predicted_CSR
Calamagrostis epigejos,394433-1,28.61,51.27,20.12,S/CSR
Calamagrostis purpurea,394764-1,25.15,39.38,35.47,CSR
Calendula arvensis,187819-1,34.84,0,65.16,R/CR
Calla palustris,86508-1,65.16,0,34.84,C/CR
Callitriche palustris,42511-2,2.57,0,97.43,R
Callitriche platycarpa,330921-2,0.6,0,99.4,R
Callitriche stagnalis,430045-1,0,0,100,R
Calluna vulgaris,327305-1,0,85.9,14.1,S
Caltha palustris,42867-2,66.59,0,33.41,C/CR
Calystegia pulchra,265687-1,62.86,12.07,25.07,C/CR
Calystegia sepium,30033025-2,32.91,12.1,54.98,R/CSR
Calystegia silvatica,143196-3,43.38,23.98,32.64,CR/CSR
Camelina microcarpa,279860-1,36.24,0,63.76,R/CR
Camelina sativa,279870-1,28.58,0,71.42,R/CR
Campanula glomerata,140364-1,28.75,27.24,44.01,R/CSR
Campanula latifolia,140562-1,47.97,0,52.03,CR
Campanula patula,140798-1,20.52,0,79.48,R/CR
Campanula persicifolia,140828-1,34.18,26.37,39.45,CSR
Campanula rapunculoides,140949-1,36.44,0,63.56,R/CR
Campanula rapunculus,140952-1,22.29,0,77.71,R/CR
Campanula rotundifolia,30036649-2,4.5,41.95,53.55,SR
Campanula trachelium,141236-1,39.48,0,60.52,CR
Cannabis sativa,306087-2,44.44,23.09,32.46,CR/CSR
Capsella bursa-pastoris,30092589-2,35.1,0,64.9,R/CR
Cardamine amara,280132-1,40.67,0,59.33,CR
Cardamine bulbifera,280205-1,49.89,0,50.11,CR
Cardamine flexuosa,45189-2,24.82,0,75.18,R/CR
Cardamine heptaphylla,280365-1,73.36,0,26.64,C/CR
Cardamine hirsuta,280380-1,22.49,0,77.51,R/CR
Cardamine impatiens,280391-1,8.48,47.31,44.21,SR
Cardamine pratensis,45334-2,35.32,17.8,46.87,CR/CSR
Carduus acanthoides,188363-1,67.72,0,32.28,C/CR
Carduus crispus,188569-1,62.95,0,37.05,C/CR
Carduus nutans,188890-1,74.91,0,25.09,C/CR
Carduus pycnocephalus,188996-1,23.57,60.33,16.1,S/CSR
Carex acuta,30197372-2,36.19,46.54,17.28,CS/CSR
Carex acutiformis,298427-1,48.4,38.64,12.97,CS/CSR
Carex appropinquata,298604-1,21.89,52.11,26,S/CSR
Carex aquatilis,298610-1,24.01,61.47,14.53,S/CSR
Carex arenaria,298633-1,18.55,69,12.44,S/CS
Carex atrata,30009416-2,16.35,51.77,31.88,S/CSR
Carex atrofusca,30016513-2,5.28,69.93,24.79,S/SR
Carex bigelowii,45854-2,13.02,68.18,18.8,S/SR
Carex buxbaumii,30070684-2,51.66,42.31,6.04,CS
Carex canescens,299030-1,15.53,41.09,43.39,SR/CSR
Carex capillaris,30074480-2,0.81,85.48,13.71,S
Carex caryophyllea,324492-2,9.02,66.99,23.99,S/SR
Carex cespitosa,298997-1,23.17,51.77,25.06,S/CSR
Carex chordorrhiza,299153-1,4.88,62.75,32.37,S/SR
Carex digitata,299459-1,18.04,36.06,45.9,SR/CSR
Carex dioica,330925-2,0.74,84.36,14.89,S
Carex distans,299497-1,12.59,55.44,31.97,S/CSR
Carex disticha,30089381-2,35.55,51.66,12.8,CS/CSR
Carex divisa,299516-1,4.78,95.22,0,S
Carex divulsa,299519-1,37.01,0,62.99,R/CR
Carex echinata,46120-2,9.15,69.36,21.49,S/SR
Carex elata,299596-1,36.71,57.59,5.69,CS
Carex elongata,299609-1,20.96,32.35,46.69,SR/CSR
Carex extensa,299690-1,7.95,92.05,0,S
Carex flacca,299756-1,18.65,62.43,18.93,S/CSR
Carex flava,30043428-2,15.55,44.57,39.88,SR/CSR
Carex hirta,300162-1,27.95,47.49,24.56,S/CSR
Carex hostiana,300208-1,6,70.48,23.52,S/SR
Carex humilis,300229-1,6.26,68.55,25.18,S/SR
Carex laevigata,300516-1,43.54,34.57,21.88,CS/CSR
Carex lasiocarpa,30041747-2,23.48,72.22,4.3,S/CS
Carex leporina,300627-1,13.59,53.07,33.34,S/CSR
Carex limosa,300678-1,4.34,55.65,40.01,SR
Carex magellanica,300842-1,10.2,46.05,43.75,SR
Carex montana,301056-1,12.95,53.9,33.15,S/CSR
Carex muricata,30028489-2,18.56,50.02,31.42,S/CSR
Carex nigra,30066383-2,10.41,61.7,27.89,S/SR
Carex ornithopoda,301357-1,14.69,51.9,33.41,SR/CSR
Carex pallescens,301409-1,23.8,54.11,22.09,S/CSR
Carex panicea,301423-1,13.1,61.9,25,S/CSR
Carex paniculata,30075588-2,41.08,43.53,15.39,CS/CSR
Carex pauciflora,301464-1,2.13,64.78,33.09,S/SR
Carex pendula,301492-1,60.68,31.49,7.83,C/CS
Carex pilulifera,301587-1,11.39,57.68,30.92,S/CSR
Carex pseudocyperus,301736-1,35.47,37.59,26.94,CSR
Carex pulicaris,301806-1,6.82,92.26,0.93,S
Carex punctata,301815-1,17.75,42.83,39.41,SR/CSR
Carex remota,301911-1,13.49,41.56,44.95,SR/CSR
Carex riparia,30019363-2,56.73,36.05,7.22,CS
Carex rostrata,302002-1,34.45,45.63,19.92,CS/CSR
Carex rupestris,302034-1,6.64,76.39,16.98,S/SR
Carex saxatilis,302087-1,15.33,72.14,12.53,S/CS
Carex spicata,302345-1,14.56,42.43,43.01,SR/CSR
Carex strigosa,302425-1,39.6,0,60.4,CR
Carex sylvatica,302516-1,21.24,49.32,29.44,S/CSR
Carex vaginata,302842-1,14.95,50.15,34.9,SR/CSR
Carex vesicaria,302885-1,25.5,52.74,21.76,S/CSR
Carex vulpina,302952-1,19.05,55.96,24.99,S/CSR
Carlina vulgaris,189321-1,33.6,6.34,60.06,R/CR
Carpinus betulus,295248-1,36.59,35.34,28.07,CSR
Carthamus tinctorius,324467-2,70.18,0,29.82,C/CR
Carum carvi,839677-1,40.32,13.06,46.63,CR/CSR
Castanea sativa,295349-1,47.85,42.56,9.58,CS
Catabrosa aquatica,395086-1,20.16,0,79.84,R/CR
Catananche caerulea,189609-1,44.3,0,55.7,CR
